Question,Réponse,Matière,,,,
"Qu'évalue le critère ""Vitesse d'exécution"" ? ",Rapidité & Stabilité,Gestion de la mémoire dynamique ,,,,
"Définis ""fragmentation externe"".",Mesure a quel point l'espace mémoire complet est fragmenté avec de nombreuses zones libres intercalées entre des zones réservées.,Gestion de la mémoire dynamique ,,,,
"Définis ""fragmentation interne"".",Mesure l'espace perdu pour chaque allocation (= padding + espace pour métadonnées).,Gestion de la mémoire dynamique ,,,,
Pourquoi la défragmentation n'est pas une option pour un algorithme de gestion de mémoire dynamique ?,Car les pointeurs vers les zones allouées ont déja été retournés via malloc. Donc plus possible de les changer.,Gestion de la mémoire dynamique ,,,,
"Qu'évalue le critère ""Utilisation de la mémoire"" ? ",A quel point la fragmentation est faible,Gestion de la mémoire dynamique ,,,,
"Définis ""localité temporelle"".",Une même donnée est lue plusieurs fois dans un intervalle de temps court.,Gestion de la mémoire dynamique ,,,,
"Définis ""localité spatiale"".",Si une donnée est lue alors il y a une forte probabilité que la donnée présente dans les octets suivants le soit aussi.,Gestion de la mémoire dynamique ,,,,
"Qu'évalue le critère ""Localité"" ? ",Espaces mémoires réservés par des appels à malloc successifs doivents être le plus proche possible les uns des autres.,Gestion de la mémoire dynamique ,,,,
Que stocke le bloc de métadonnées ?,1. Taille du bloc µ 2. Si le bloc est libre ou pas (drapeau 0/1),Gestion de la mémoire dynamique ,,,,
"En pratique, quel astuce utilisons-nous pour stocker le drapeau des métadonnées et pourquoi est-ce que cela fonctionne ?","Puisqu’on alloue toujours des blocs dont la taille est un multiple de 2, le dernier bit d’une adresse est toujours 0. µ On peut donc utiliser ce bit pour stocker le drapeau.",Gestion de la mémoire dynamique ,,,,
Quelles sont les 3 politiques de placement vues pour les algorithmes de gestion de mémoire dynamique ?,1. First Fit µ 2. Next Fit µ 3. Best Fit,Différentes politiques de placement,,,,
"Comment fonctionne la politique de placement ""First Fit"" ?",Choisir le premier bloc satisfaisant rencontré,Différentes politiques de placement,,,,
"Comment fonctionne la politique de placement ""Next Fit"" ?",Choisir le premier bloc satisfaisant rencontré à partir du dernier bloc alloué,Différentes politiques de placement,,,,
"Comment fonctionne la politique de placement ""Best Fit"" ?",Parcours intégral de la liste pour trouver le bloc qui correspond au mieux à la taille demandée,Différentes politiques de placement,,,,
"Discute de la politique de placement ""First Fit"" en fonction des 3 critères d'un algorithme de gestion de mémoire dynamique.",1. Rapide µ 2. Fragmentation élevée µ 3. Localité faible (pire en pire),Différentes politiques de placement,,,,
"Discute de la politique de placement ""Next Fit"" en fonction des 3 critères d'un algorithme de gestion de mémoire dynamique.","1. Rapide µ 2. Fragmentation très élevée µ 3. Meilleure localité que ""First Fit""",Différentes politiques de placement,,,,
"Discute de la politique de placement ""Best Fit"" en fonction des 3 critères d'un algorithme de gestion de mémoire dynamique.",1. Lent (parcours total) µ 2. Fragmentation optimale µ 3. Localité catastrophique,Différentes politiques de placement,,,,
Quelles sont les 4 statégies d'implémentation des algorithmes de gestion de mémoire dynamique,1. Liste implicite µ 2. Liste explicite µ 3. Liste explicite doublement chaînée µ 4. Utilisation de listes multiples,Stratégies pour les algorithmes de gestion de mémoire dynamique,,,,
Comment est-ce que l'implémentation des algorithmes de gestion de mémoire dynamique avec une liste implicite fonctionne-t-elle ?,"Tous les headers de métadonnées lient vers le prochain header de métadonnés de telle manière à ce qu'il est possible d'itérer d'un header à l'autre. Dés qu'un header ayant une taille suffisamment grande est trouvé, il peut être utilisé ne le scindant. Un nouveau header de métadonnés est crée pour définir le bloc libre qui se trouve après le nouveau bloc enregistré.",Stratégies pour les algorithmes de gestion de mémoire dynamique,,,,
Comment est-ce que un algorithme de gestion de mémoire dynamique implémenté avec une liste implicite libère-t-il un bloc ?,On passe le drapeau du bloc a libéré à 0 (bloc libre).,Stratégies pour les algorithmes de gestion de mémoire dynamique,,,,
Quel problème apparait dans les algorithmes de gestion de mémoire dynamique implémenté avec une liste implicite ?,La fausse fragmentation,Stratégies pour les algorithmes de gestion de mémoire dynamique,,,,
Définis le problème de fausse fragmentation.,Plusieurs blocs vides se suivent sans s'unifier pour former un bloc vide plus grand.,Stratégies pour les algorithmes de gestion de mémoire dynamique,,,,
Comment un algorithme de gestion de mémoire dynamique peut-t-il  pallier au problème de fausse fragmentation ?,1; En utilisant une liste doublement chainée. µ 2. En modifiant la fonction free pour qu'elle soit capable de regrouper des blocs vides lorsqu'elle est invoquée,Stratégies pour les algorithmes de gestion de mémoire dynamique,,,,
Comment est-ce que l'implémentation des algorithmes de gestion de mémoire dynamique avec une liste explicite fonctionne-t-elle ?,"Le premier bloc du conteneur contient un lien vers le premier header de métadonnés du premier bloc libre, chaque header de métadonnés d'un bloc libre contient un lien vers le header de métadonnés du prochain bloc libre.",Stratégies pour les algorithmes de gestion de mémoire dynamique,,,,
Comment est-ce que l'implémentation des algorithmes de gestion de mémoire dynamique avec une liste explicite doublement chaînée fonctionne-t-elle ?,"Le premier bloc du conteneur contient un lien vers le premier header de métadonnés du premier bloc libre, chaque header de métadonnés d'un bloc libre contient un lien vers le header de métadonnés du prochain bloc libre ET un lien vers le header de métadonnés du bloc libre précédent.",Stratégies pour les algorithmes de gestion de mémoire dynamique,,,,
Comment est-ce que l'implémentation des algorithmes de gestion de mémoire dynamique avec une utilisation de listes multiples fonctionne-t-elle ?,"On utilise plusieurs listes, une par classe de taille. Chaque classe de taille correspond à une allocation d'un bloc de taille minmum x octets jusqu'a une taille maximum de y octets.",Stratégies pour les algorithmes de gestion de mémoire dynamique,,,,
Quel est le défaut de l'implémentation des algorithmes de gestion de mémoire dynamique avec une utilisation de listes multiples ?,Les opérations de réservation et de libération de blocs peuvent entrainer des opérations de recherches sur plusieurs listes.,Stratégies pour les algorithmes de gestion de mémoire dynamique,,,,
Laquelle des 4 stratégies d'implémentation des algorithmes de gestion de mémoire dynamique applique-t-elle la politique address-ordered ?,L'implémentation avec des listes multiples,Stratégies pour les algorithmes de gestion de mémoire dynamique,,,,
Quels sont les 2 éléments de l'architecture Von Neumann ?,1. Le processeur µ 2. La mémoire,Architecture Von Neumann,,,,
Quels sont les 2 roles du processeur dans l'architecure Von Neumann ?,1. Unité arithmétique et logique µ 2. Unité de commande,Architecture Von Neumann,,,,
Concrètement que fait l'unité arithmétique et logique.,Réaliser les calculs,Architecture Von Neumann,,,,
Concrètement que fait l'unité de commande.,Décoder les instructions à exécuter lors de l'exécution d'un processus.,Architecture Von Neumann,,,,
Quels sont les 3 éléments stocké par la mémoire dans l'architecture Von Neumann ?,1. Données traitées par le programme µ 2. Instructions du programme µ 3. Données binaires,Architecture Von Neumann,,,,
Combien d'octets font les blocs qui constituent la mémoire dans l'architecture Von Neumann ?,1 octet,Architecture Von Neumann,,,,
Comment est-ce que les blocs sont identifier dans la mémorire dans l'architecture Von Neumann ?,Via des adresses sous la forme de mot binaire,Architecture Von Neumann,,,,
"Si une mémoire permet de stocker 2^k bytes de onnées, combien de bits devra t-elle utiliser au minimum pour représenter l'adresse d'une zone de mémoire ?",k,Architecture Von Neumann,,,,
Quel est un facteur limitant de la capacité totale de mémoire adressable par le processeur ?,Le nombre de bits utilisés pour représenter une adresse de mémoire.,Architecture Von Neumann,,,,
Que peux-tu dire sur les limitations au niveau mémoire d'un processeur utilisant des adresse sur 32 bits ?,Il n'est pas capable physiquement d'adresser plus de 4GB de mémoire.,Architecture Von Neumann,,,,
Quels sont les 2 types de mémoire ?,1. SRAM µ 2. DRAM,Types de mémoire,,,,
Qu'est ce que la mémoire à besoin pour que ces données soient gardés ? ,D'alimentation.,Types de mémoire,,,,
Comment est-ce que la SRAM stocke t-elle un bit d'information ?,Avec un circuit de 4 à 6 transistors (+ qlqs composants electroniques supplémentaires),Types de mémoire,,,,
Quels sont les 2 incovénients de la mémoire SRAM ?,1. Grande consommation électrique µ 2. Nombre important de composants eléctroniques par bit stocké.,Types de mémoire,,,,
Comment est-ce que la DRAM stocke t-elle un bit d'information ?,"En utilisant un condensateur. La présence d'une charge=1, sinon 0. Il est nécessaire de remettre périodiquement la charge.",Types de mémoire,,,,
Pourquoi est-ce que la mémoire DRAM est plus utilisée que la mémoire SRAM ?,Coutent moins chers ==> plus de capacité de mémoire.,Types de mémoire,,,,
Comment est-ce que les adresses en mémoire DRAM sont-elles composées ?,Numéro de colonne + numéro de ligne,Types de mémoire,,,,
Que peux-tu dire à propos de l'écriture de blocs de différentes taille dans une mémoire DRAM ?,Plus rapide d'écrire un grand bloc successif plutôt que d'écrire plusieurs petits blocs séparément.,Types de mémoire,,,,
Qu'est ce que la vitesse d'accesion à la mémore limite t-elle et pourquoi ?,Les processeurs. La fréquence d'horloge des processeurs est bcp plus rapide que la vitesse d'accession à la mémoire (SRAM et DRAM).,Types de mémoire,,,,
Quelles sont les 2 solutions envisagées pour pallier à l'écart de vitesse entre les horloge de processeurs et la vitesse d'accès à la mémoire?,1. Combiner SRAM et DRAM µ 2. Mémoire cache,Types de mémoire,,,,
Pourquoi est-ce que combiner SRAM et DRAM est difficilement faisable en pratique ?,Chaque application devraient déterminer quelles sont les instructions à exécuter et quelles données doivent être placées en SRAM.,Types de mémoire,,,,
Que peux-tu dire sur la vitesse de la mémoire cache ?,Rapide,Mémoire cache,,,,
Que peux-tu dire sur la capacité de la mémoire cache ?,Faible capacité,Mémoire cache,,,,
"Dans un scénario avec un cache et ou le processeur a besoin de lire une donnée, comment se déroule cette demande ?","La mémoire cache reçoit l'adresse demandée et vérifie si la donnée correspondant à cette adresse est présente en mémoire cache, si c'est le cas la mémoire cache renvoie la donnée. Sinon la mémoire cache interroge la mémoire RAM pour la donnée, se met à jour et ensuite répond au processeur.",Mémoire cache,,,,
"Dans un scénario avec un cache et ou le processeur a besoin d'écrire une donnée, comment se déroule cette demande ?",En utilisant la technique du write back.,Mémoire cache,,,,
Définis la technique du write back.,Tout écriture est faite en mémoire cache directement. µ Une donnée modifiée n'est réecrite en mémoire RAM que lorsqu'elle doit être retirée de la mémoire cache.,Mémoire cache,,,,
"Lorsque la technique du write back est utilisée sur un système supportant DMA, qu'est ce que le système d'exploitation doit faire obligatoirement ?",Le Système d'exploitation doit veiller à ce que les données écrites par le processeur en cache aient bien été écrites également en mémoire RAM.,Mémoire cache,,,,
Qu'est ce qu'un registre ?,Une zone de mémoire très rapide sur le processeur. La mémoire la plus rapide sur le processeur.,Les registres,,,,
Pourquoi est-ce que des registres ne peuvent pas être utilisés pour toutes les tâches ?,Car leur nombre est limité.,Les registres,,,,
Quels sont les 8 registres génériques d'un processeur IA32 ?,EBP µ ESP µ EIP µ EAX µ EBX µ ECX µ EDX µ ESI µ EDI µ eflags,L'architecture IA32,,,,
De quoi s'occupent les registres EBP et ESP ?,De la gestion de la pile,L'architecture IA32,,,,
Que contient %esp ?,Le sommet de la pile,L'architecture IA32,,,,
Que contient le registre EIP ?,Il contient l'instruction pointer PC,L'architecture IA32,,,,
Qu'est ce que l'instruction pointer PC ?,L'adresse de l'instruction actuellement executée,L'architecture IA32,,,,
Que contient le registre eflags ?,Il contient les bits drapeau.,L'architecture IA32,,,,
Que veut dire le bit drapeau ZF ?,"Zero Flag, si le résultat de la dernière opération était 0.",L'architecture IA32,,,,
Que veut dire le bit drapeau SF ?,"Sign Flag, si le résultat de la dernière opération était négatif.",L'architecture IA32,,,,
Que veut dire le bit drapeau CF ?,"Carry Flag, si le résultat de la derni!ère instrucion arithmérique non signée nécessitait plus de 32 bits pour être stockée.",L'architecture IA32,,,,
Que veut dire le bit drapeau OF ?,"Overflow Flag, si le résultat de la dernière instruction arithmétique signée a provoqué un dépassement de capacité.",L'architecture IA32,,,,
Quels sont les 5 types de données supportées par un processeur en architecture IA32 ?,char µ short µ int µ long int µ void *,L'architecture IA32,,,,
Quelle est la taille en bytes d'un char ?,1,L'architecture IA32,,,,
Quelle est la taille en bytes d'un short ?,2,L'architecture IA32,,,,
Quelle est la taille en bytes d'un int ?,4,L'architecture IA32,,,,
Quelle est la taille en bytes d'un long int ?,4,L'architecture IA32,,,,
Quelle est la taille en bytes d'un void * ?,4,L'architecture IA32,,,,
Quelle est le suffixe assembleur d'un char ?,b,L'architecture IA32,,,,
Quelle est le suffixe assembleur d'un short ?,w,L'architecture IA32,,,,
Quelle est le suffixe assembleur d'un int ?,1,L'architecture IA32,,,,
Quelle est le suffixe assembleur d'un long int ?,1,L'architecture IA32,,,,
Quelle est le suffixe assembleur d'un void * ?,1,L'architecture IA32,,,,
"Quels sont les 5 modes utilisés pour spécifier chaque argument d'une instruction ""mov"" ? (autres instructions aussi ?)",1. registre µ 2. adresage immédiat µ 3. adressage absolu µ 4. adressage indirect  µ 5. une base et un déplacement,Les instructions en assembleur,,,,
Définis le mode registre,Pour spécifier que la source/destination est un registre on préfixe le nom du registre par % (%eax),Les instructions en assembleur,,,,
Définis le mode d'adressage immédiat,Pour spécifiquer que la SOURCE est une constante via le préfixe $,Les instructions en assembleur,,,,
Définis le mode d'adressage absolu,L'un des argument est une adresse en mémoire,Les instructions en assembleur,,,,
Définis le mode d'adressage indirect,L'un des argument est une adresse stockée dans un registre.  Exemple: (%eax) ,Les instructions en assembleur,,,,
Définis le mode avec une base et un déplacement,Extension du mode indirect. µ Il permet de lire en mémoire à une adresse qui est obtenue en additionnant un entier positif/négatif à une adresse stockée dans un registre.,Les instructions en assembleur,,,,
"Que fait l'instruction ""mov"" et quelle est sa syntaxe ?","Déplacer des données entre registres ou depuis/vers la mémoire vers/depuis un registre. µ mov src, dest",Les instructions en assembleur,,,,
"Quelle est la limitation de l'instruction ""mov"" ?",Elle ne permet pas de déplacement entre 2 zones de mémoire égales µ (adresse ==> adresse (même si les deux adresses sont stockés dans des registres)),Les instructions en assembleur,,,,
"Quel type de donnée est-ce que suffixe d'instruction ""b"" permet-t-elle de modifier ?",Byte,Les instructions en assembleur,,,,
"Quel type de donnée est-ce que suffixe d'instruction ""w"" permet-t-elle de modifier ?",Mot de 16bits,Les instructions en assembleur,,,,
"Quel type de donnée est-ce que suffixe d'instruction ""l"" permet-t-elle de modifier ?",Mot de 32bits,Les instructions en assembleur,,,,
"Que fait l'instruction ""inc"" et quelle est sa syntaxe ?",Incrémenter une valeur µ inc dest ,Les instructions en assembleur,,,,
"Que fait l'instruction ""dec"" et quelle est sa syntaxe ?",Décremente une valeur µ dec dest ,Les instructions en assembleur,,,,
"Que fait l'instruction ""not"" et quelle est sa syntaxe ?",Inverser bit a bit µ not source/dest,Les instructions en assembleur,,,,
"Que fait l'instruction ""add"" et quelle est sa syntaxe ?","Additionne une valeur (constante) à une adresse/registre µ La valeur à ajouter est définie par le mode d'adressage immédiat µ add $v, %eax",Les instructions en assembleur,,,,
"Que fait l'instruction ""sub"" et quelle est sa syntaxe ?","Soustrait une valeur à une adresse/registre µ La valeur à soustraire est définie par le mode d'adressage absolu (donc par l'adresse qui pointe vers la valeur à soustraire) µ sub 0x0c, %eax",Les instructions en assembleur,,,,
"Que fait l'instruction ""mul"" ?",Permet de multiplier des nombres entiers non-signés.,Les instructions en assembleur,,,,
"Que fait l'instruction ""imul"" ?",Permet de multiplier des nombres entiers signés.,Les instructions en assembleur,,,,
"Que fait l'instruction ""div"" ?",Permet la division de nombres entiers non-signés.,Les instructions en assembleur,,,,
"Que fait l'instruction ""shl"" ?",Décalage logique vers la gauche (Left),Les instructions en assembleur,,,,
"Que fait l'instruction ""shr"" ?",Décalage logique vers la droite (Right),Les instructions en assembleur,,,,
"Que font les instructions ""or""/""xor""/""and"" ?","Ils effectuent l'opération binaire qu'ils représentent bit à bit µ ex: xorl j, %eax",Les instructions en assembleur,,,,
"Que fait l'instruction ""sete"" ?","Récupère ZF = l'opération "" = """,Les instructions en assembleur,,,,
"Que fait l'instruction ""sets"" ?",Récupère SF,Les instructions en assembleur,,,,
"Que fait l'instruction ""setg"" ?","Récupère ~SF & ~ZF = l'opération "" > """,Les instructions en assembleur,,,,
"Que fait l'instruction ""setl"" ?","Récupère SF = l'opération "" <= """,Les instructions en assembleur,,,,
"Que fait l'instruction ""cmp"" ?","Equivalent à l'instruction ""sub"" sans stocker le résultat",Les instructions en assembleur,,,,
